单词,次数
bodyhe,1
sorryrogerhe,1
saidwhere,1
dianeshe,1
phoned,1
dogsroger,1
meangry,1
minutethis,1
difficultim,1
policeroger,1
policewhywhats,1
knowyour,1
wellwhy,1
diei,1
don,1
t,1
understandi,1
summer,1
morningthe,1
sky,1
greenit,1
quiethis,1
gardenbut,1
gardenand,1
gardentooroger,1
tabletsdr,1
saiddid,1
knowon,1
tabletsbut,1
knowroger,1
saidvery,1
welllets,1
coffeejust,1
saidlookim,1
sorryi,1
matterroger,1
saidhere,1
arehave,1
coffeedr,1
policedid,1
tabletswellthe,1
whati,1
understanddiane,1
drinkher,1
just,1
kitchentheyre,1
oncehe,1
saiddianeim,1
sorry,1
pratti,1
nighteveryone,1
quietroger,1
thinks,1
opens,1
mouthhe,1
angrily,1
look,1
rogerlast,1
medr,1
saidyou,1
redsuddenly,1
afraidthe,1
everyoneand,1
questionshe,1
thoughtand,1
theyre,1
answersits,1
difficulthe,1
quicklythere,1
themsome,1
cameras,1
roomtwo,1
kitchenthe,1
roomit,1
openthe,1
feetnobody,1
talkedjackie,1
smokedthey,1
timesuddenly,1
morningi,1
detective,1
fosterthe,1
suit,1
coathe,1
coldlast,1
milkwe,1
everybodyand,1
roomplease,1
upim,1
fathers,1
officecome,1
meits,1
along,1
roombut,1
four,1
chairsroger,1
unclealbert,1
kinginspector,1
coursesaid,1
doorhe,1
played,1
sunday,1
morningshe,1
best,1
players,1
questionsmr,1
kingthe,1
feetyesyesits,1
jobi,1
nightinspector,1
timeyesi,1
waseveryone,1
angryroger,1
angrydiane,1
americathen,1
theres,1
farmmolly,1
anniemollys,1
sisteris,1
wellmolly,1
upstairswe,1
coffeejackie,1
mollyshe,1
happyat,1
nohe,1
firsti,1
againbut,1
nothere,1
sisteralbert,1
minutedid,1
noises,1
thinklateri,1
heard,1
someoneheor,1
shewent,1
downstairsthat,1
midnight,1
wellmr,1
kingthank,1
headwhat,1
itim,1
hungrywere,1
learning,1
lotbut,1
shall,1
kitchensergeant,1
ohnolaterlets,1
roomthe,1
suddenlythen,1
waitedjackies,1
change,1
medid,1
shop,1
yesmy,1
tablet,1
tabletssometimes,1
shopsometimes,1
didon,1
thursdayi,1
themhe,1
roadand,1
goes,1
bicycle,1
seeyour,1
househow,1
youdid,1
againthis,1
housei,1
yeseveryone,1
diddiane,1
slept,1
headjackie,1
quietwhat,1
cigarettecan,1
coursethis,1
houseinspector,1
jackiewhat,1
sayhe,1
againshe,1
dogsshe,1
dinner,1
rememberabout,1
midnighti,1
noinspectormoney,1
methere,1
thingsjackie,1
wellyour,1
moneytom,1
gardenyou,1
inspectorher,1
hobbshe,1
motherhe,1
heryou,1
knowand,1
carefullywere,1
everyonemiss,1
minutewould,1
coffeeinspector,1
ahyespleaseinspector,1
warmlyi,1
herwhy,1
angrythe,1
sandwichesinspector,1
officeroger,1
downthe,1
nowmr,1
clarksonwhy,1
bigroger,1
saidit,1
movebut,1
jobmr,1
clarksonyour,1
richdo,1
afraidwhat,1
sayingi,1
truea,1
friend,1
build,1
ten,1
houses,1
herein,1
gardenwe,1
themsoi,1
houseits,1
truebut,1
gardentooyou,1
knowfor,1
pencil,1
tabletell,1
mewhat,1
upstairsyou,1
didi,1
goodnight,1
didagainshe,1
minutei,1
seewe,1
tabletsmr,1
clarksonin,1
changeohsomeone,1
therediane,1
thatshe,1
body,1
pocketshe,1
treeswhy,1
afraidwas,1
importanthe,1
tomorrow,1
morninggo,1
officeyou,1
namehe,1
saidask,1
himabout,1
jobfriendsmoney,1
downyesinspector,1
tennissergeant,1
laugheddont,1
thatits,1
easyyou,1
looking,1
sun,1
smiledi,1
monthi,1
thinkyou,1
play,1
fosters,1
redinspector,1
himoh,1
yesa,1
fast,1
exciting,1
player,1
redder,1
wellmiss,1
smilingohi,1
itwe,1
angrymother,1
herwe,1
kitchenand,1
broke,1
downdiane,1
yes,1
motherare,1
goodtom,1
kitchentooare,1
questionsmiss,1
clarksonwhen,1
againi,1
motherinspectorshe,1
fatheryou,1
knowlast,1
winterafter,1
christmasshe,1
tree,1
carefullyi,1
seeso,1
laughedi,1
didnti,1
familyinspectoreveryone,1
dieuncle,1
wifeannieand,1
brotherhe,1
carand,1
jackiedo,1
mothera,1
agea,1
boy,1
worked,1
herehe,1
gardenerjackie,1
muchbut,1
noa,1
quietlyall,1
interesting,1
importantperhapswhat,1
suddenlyher,1
angrywhati,1
thereim,1
thisshe,1
wellwellwellinspector,1
yousergeantyou,1
milkthe,1
saidall,1
nightpeter,1
theretooone,1
coatcome,1
onwe,1
briggslets,1
firstid,1
sandwichtooim,1
hungry,1
caran,1
green,1
slowlyhe,1
trousers,1
orange,1
shirt,1
ohits,1
herpeter,1
inspectori,1
deadsomeone,1
brotherroger,1
angryshe,1
saidcome,1
doorso,1
noise,1
doorold,1
therebut,1
handi,1
jobmy,1
jobbecause,1
trouble,1
policei,1
easyinspector,1
coffeebut,1
brother,1
mepeter,1
angrilythen,1
inhe,1
rogertoobut,1
himjackie,1
unhappyshe,1
criedthen,1
homethats,1
seenow,1
tabletsyou,1
tabletsohyesi,1
rememberjackie,1
villagei,1
bicyclethis,1
youpeterthats,1
