单词,次数
knowamundsen,1
saidyoure,1
skier,1
tiredtoomotor,1
tiredthey,1
night,1
angrilythats,1
saidperhaps,1
nightbut,1
cantthe,1
winroaldthey,1
doand,1
slow,1
perhapsamundsen,1
raceso,1
earlydo,1
framheimbjaaland,1
longcold,1
housewhenroaldhe,1
comes,1
cantjohansen,1
angryand,1
unhappythats,1
thenits,1
stupid,1
coldlyyoure,1
wrongjohansenhe,1
winrememberso,1
campat,1
evansno,1
football,1
newspaperthe,1
polar,1
timesand,1
booksno,1
learnt,1
skino,1
sledgestwicemen,1
journeys,1
walkedand,1
themselvesoates,1
window,1
evansscott,1
antarcticawith,1
penhe,1
line,1
britisn,1
poleunder,1
mapscott,1
rdhe,1
rdthe,1
norwegianssledges,1
readythey,1
hourbut,1
coldcentigradethey,1
weatherthey,1
weeksuntil,1
ththenwith,1
atcentigradethey,1
startedthey,1
southeight,1
menseven,1
eightysix,1
dogsonly,1
lindstromthe,1
cookstayed,1
everything,1
wellthey,1
saturdayand,1
sundayit,1
easythenon,1
mondaythe,1
downto,1
centigradethere,1
fog,1
facesthey,1
anythingbut,1
nightin,1
tentsthey,1
coldnext,1
housesinside,1
housesit,1
warmbut,1
unhappy,1
youroaldjohansen,1
saideven,1
colddo,1
wait,1
angryhe,1
johansenbuthe,1
himselftoohe,1
righthe,1
slowlywe,1
southleave,1
backwe,1
thirtyseven,1
depotthe,1
daytwo,1
wayat,1
stopthey,1
flagsturned,1
roundand,1
quicklyand,1
sat,1
empty,1
fasterit,1
raceamundsen,1
wistings,1
sledgeand,1
soon,1
hewistingand,1
frontsoon,1
alonethey,1
seventyfive,1
hoursand,1
afternoon,1
laterwith,1
menbut,1
twojohansen,1
prestrudwent,1
slowlytheir,1
tiredtheir,1
